source,target,weight
berlin,szczecin,24
berlin,poznan,74
berlin,wroclaw,48
berlin,nuremberg,48
szczecin,bydgoszcz,24
szczecin,poznan,24
bydgoszcz,poznan,44
bydgoszcz,lodz,30
bydgoszcz,bialystok,45
bialystok,warsaw,50
bialystok,vilnius,54
bialystok,baranavichy,48
vilnius,riga,20
vilnius,minsk,24
vilnius,baranavichy,32
riga,tallinn,8
riga,minsk,24
riga,pskov,2
riga,leningrad,12
tallinn,leningrad,6
leningrad,pskov,26
leningrad,moscow,30
moscow,pskov,6
moscow,smolensk,30
moscow,bryansk,24
moscow,voronezh,14
moscow,tambov,24
pskov,minsk,26
smolensk,bryansk,16
smolensk,minsk,54
bryansk,gomel,52
bryansk,voronezh,24
bryansk,kyiv,34
voronezh,tambov,38
voronezh,donetsk,30
tambov,volgograd,24
volgograd,rostov-on-don,44
rostov-on-don,donetsk,40
rostov-on-don,mariupol,48
mariupol,krasnoperekopsk,28
mariupol,donetsk,30
krasnoperekopsk,donetsk,40
krasnoperekopsk,dnipro,44
donetsk,dnipro,10
donetsk,kyiv,10
dnipro,kyiv,50
dnipro,chisinau,16
kyiv,gomel,38
kyiv,lviv,34
kyiv,chisinau,4
kyiv,bratislava,28
gomel,minsk,41
gomel,brest,12
minsk,baranavichy,30
minsk,brest,30
baranavichy,brest,22
brest,lviv,17
brest,warsaw,65
brest,bialystok,2
lviv,warsaw,26
lviv,bratislava,28
bratislava,chisinau,2
bratislava,bucharest,20
bratislava,budapest,12
bratislava,brno,24
bratislava,krakow,44
chisinau,bucharest,36
bucharest,budapest,48
budapest,brno,50
budapest,vienna,40
vienna,brno,32
vienna,munich,36
vienna,prague,32
vienna,nuremberg,24
munich,nuremberg,4
nuremberg,prague,58
nuremberg,wroclaw,24
wroclaw,poznan,28
wroclaw,prague,8
wroclaw,katowice,80
wroclaw,lodz,38
prague,brno,60
prague,katowice,68
brno,krakow,16
krakow,katowice,36
krakow,warsaw,30
katowice,warsaw,24
katowice,lodz,56
lodz,poznan,90
innsbruck,vienna,24
innsbruck,munich,20
