source,target,weight,source_lat,source_lng,target_lat,target_lng
berlin,szczecin,24,52.5170365,13.3888599,53.4301818,14.5509623
berlin,poznan,74,52.5170365,13.3888599,52.4082663,16.9335199
berlin,wroclaw,48,52.5170365,13.3888599,51.1089776,17.0326689
berlin,nuremberg,48,52.5170365,13.3888599,49.453872,11.077298
szczecin,bydgoszcz,24,53.4301818,14.5509623,53.1219648,18.0002529
szczecin,poznan,24,53.4301818,14.5509623,52.4082663,16.9335199
bydgoszcz,poznan,44,53.1219648,18.0002529,52.4082663,16.9335199
bydgoszcz,lodz,30,53.1219648,18.0002529,51.7687323,19.4569911
bydgoszcz,bialystok,45,53.1219648,18.0002529,53.132398,23.1591679
bialystok,warsaw,50,53.132398,23.1591679,52.2319581,21.0067249
bialystok,vilnius,54,53.132398,23.1591679,54.6870458,25.2829111
bialystok,baranavichy,48,53.132398,23.1591679,53.1322925,26.0184156
vilnius,riga,20,54.6870458,25.2829111,56.9493977,24.1051846
vilnius,minsk,24,54.6870458,25.2829111,53.9024716,27.5618225
vilnius,baranavichy,32,54.6870458,25.2829111,53.1322925,26.0184156
riga,tallinn,8,56.9493977,24.1051846,59.4372155,24.7453688
riga,minsk,24,56.9493977,24.1051846,53.9024716,27.5618225
riga,pskov,2,56.9493977,24.1051846,57.8173923,28.3343465
riga,leningrad,12,56.9493977,24.1051846,59.9606739,30.1586551
tallinn,leningrad,6,59.4372155,24.7453688,59.9606739,30.1586551
leningrad,pskov,26,59.9606739,30.1586551,57.8173923,28.3343465
leningrad,moscow,30,59.9606739,30.1586551,55.7505412,37.6174782
moscow,pskov,6,55.7505412,37.6174782,57.8173923,28.3343465
moscow,smolensk,30,55.7505412,37.6174782,54.77897,32.0471812
moscow,bryansk,24,55.7505412,37.6174782,53.278964,34.3658936
moscow,voronezh,14,55.7505412,37.6174782,51.680008,39.183725
moscow,tambov,24,55.7505412,37.6174782,52.7216164,41.4523988
pskov,minsk,26,57.8173923,28.3343465,53.9024716,27.5618225
smolensk,bryansk,16,54.77897,32.0471812,53.278964,34.3658936
smolensk,minsk,54,54.77897,32.0471812,53.9024716,27.5618225
bryansk,gomel,52,53.278964,34.3658936,52.4238936,31.0131698
bryansk,voronezh,24,53.278964,34.3658936,51.680008,39.183725
bryansk,kyiv,34,53.278964,34.3658936,50.4500336,30.5241361
voronezh,tambov,38,51.680008,39.183725,52.7216164,41.4523988
voronezh,donetsk,30,51.680008,39.183725,48.0158753,37.8013407
tambov,volgograd,24,52.7216164,41.4523988,48.7081906,44.5153353
volgograd,rostov-on-don,44,48.7081906,44.5153353,47.2216548,39.7096061
rostov-on-don,donetsk,40,47.2216548,39.7096061,48.0158753,37.8013407
rostov-on-don,mariupol,48,47.2216548,39.7096061,47.0957648,37.5499621
mariupol,krasnoperekopsk,28,47.0957648,37.5499621,45.9568404,33.7974907
mariupol,donetsk,30,47.0957648,37.5499621,48.0158753,37.8013407
krasnoperekopsk,donetsk,40,45.9568404,33.7974907,48.0158753,37.8013407
krasnoperekopsk,dnipro,44,45.9568404,33.7974907,48.4680221,35.0417711
donetsk,dnipro,10,48.0158753,37.8013407,48.4680221,35.0417711
donetsk,kyiv,10,48.0158753,37.8013407,50.4500336,30.5241361
dnipro,kyiv,50,48.4680221,35.0417711,50.4500336,30.5241361
dnipro,chisinau,16,48.4680221,35.0417711,47.0245117,28.8322923
kyiv,gomel,38,50.4500336,30.5241361,52.4238936,31.0131698
kyiv,lviv,34,50.4500336,30.5241361,49.841952,24.0315921
kyiv,chisinau,4,50.4500336,30.5241361,47.0245117,28.8322923
kyiv,bratislava,28,50.4500336,30.5241361,48.31295,18.0894593
gomel,minsk,41,52.4238936,31.0131698,53.9024716,27.5618225
gomel,brest,12,52.4238936,31.0131698,52.093751,23.6851851
minsk,baranavichy,30,53.9024716,27.5618225,53.1322925,26.0184156
minsk,brest,30,53.9024716,27.5618225,52.093751,23.6851851
baranavichy,brest,22,53.1322925,26.0184156,52.093751,23.6851851
brest,lviv,17,52.093751,23.6851851,49.841952,24.0315921
brest,warsaw,65,52.093751,23.6851851,52.2319581,21.0067249
brest,bialystok,2,52.093751,23.6851851,53.132398,23.1591679
lviv,warsaw,26,49.841952,24.0315921,52.2319581,21.0067249
lviv,bratislava,28,49.841952,24.0315921,48.31295,18.0894593
bratislava,chisinau,2,48.31295,18.0894593,47.0245117,28.8322923
bratislava,bucharest,20,48.31295,18.0894593,44.4361414,26.1027202
bratislava,budapest,12,48.31295,18.0894593,47.4978789,19.0402383
bratislava,brno,24,48.31295,18.0894593,49.1922443,16.6113382
bratislava,krakow,44,48.31295,18.0894593,50.0619474,19.9368564
chisinau,bucharest,36,47.0245117,28.8322923,44.4361414,26.1027202
bucharest,budapest,48,44.4361414,26.1027202,47.4978789,19.0402383
budapest,brno,50,47.4978789,19.0402383,49.1922443,16.6113382
budapest,vienna,40,47.4978789,19.0402383,48.2083537,16.3725042
vienna,brno,32,48.2083537,16.3725042,49.1922443,16.6113382
vienna,munich,36,48.2083537,16.3725042,48.1371079,11.5753822
vienna,prague,32,48.2083537,16.3725042,50.0874654,14.4212535
vienna,nuremberg,24,48.2083537,16.3725042,49.453872,11.077298
munich,nuremberg,4,48.1371079,11.5753822,49.453872,11.077298
nuremberg,prague,58,49.453872,11.077298,50.0874654,14.4212535
nuremberg,wroclaw,24,49.453872,11.077298,51.1089776,17.0326689
wroclaw,poznan,28,51.1089776,17.0326689,52.4082663,16.9335199
wroclaw,prague,8,51.1089776,17.0326689,50.0874654,14.4212535
wroclaw,katowice,80,51.1089776,17.0326689,50.2598987,19.0215852
wroclaw,lodz,38,51.1089776,17.0326689,51.7687323,19.4569911
prague,brno,60,50.0874654,14.4212535,49.1922443,16.6113382
prague,katowice,68,50.0874654,14.4212535,50.2598987,19.0215852
brno,krakow,16,49.1922443,16.6113382,50.0619474,19.9368564
krakow,katowice,36,50.0619474,19.9368564,50.2598987,19.0215852
krakow,warsaw,30,50.0619474,19.9368564,52.2319581,21.0067249
katowice,warsaw,24,50.2598987,19.0215852,52.2319581,21.0067249
katowice,lodz,56,50.2598987,19.0215852,51.7687323,19.4569911
lodz,poznan,90,51.7687323,19.4569911,52.4082663,16.9335199
innsbruck,vienna,24,47.2654296,11.3927685,48.2083537,16.3725042
innsbruck,munich,20,47.2654296,11.3927685,48.1371079,11.5753822
