id,trade_id,target,source,order_date,orderYrEst,quantity,delivery_date,designation,description,category,source_lat,source_lng,target_lat,target_lng
230885,551,Kyrgyzstan,Russia,2005-01-01 00:00:00+00:00,True,1.0,2005-01-01 00:00:00+00:00,Mi-17,transport helicopter,Aircraft,64.77465657002523,98.10510651767648,41.52886307929801,74.63652391135591
252527,1452,unknown rebel group*,unknown supplier(s),2002-01-01 00:00:00+00:00,True,1.0,2002-01-01 00:00:00+00:00,Strela-2,portable SAM,Missiles,,,,
272485,2511,Paraguay,Spain,2003-01-01 00:00:00+00:00,False,1.0,2004-01-01 00:00:00+00:00,C-212,transport aircraft,Aircraft,40.43416182812459,-3.614562787786784,-23.297917832810157,-58.36525516338344
273685,3509,Greece,United States,2003-01-01 00:00:00+00:00,False,4.0,2007-01-01 00:00:00+00:00,APG-78 Longbow,combat heli radar,Sensors,38.8936506,-77.1706298,39.12439787490408,22.72053166482316
240855,4031,NATO**,United States,2012-01-01 00:00:00+00:00,False,5.0,2020-01-01 00:00:00+00:00,RQ-4,UAV,Aircraft,38.8936506,-77.1706298,,
309510,4639,China,Germany,2000-01-01 00:00:00+00:00,True,48.0,2006-01-01 00:00:00+00:00,ship engine 1001-2500,ship engine,Engines,51.247366088569144,10.29806784711105,37.59429811123865,104.2092712875572
254003,4842,Indonesia,France,2004-01-01 00:00:00+00:00,True,30.0,2010-01-01 00:00:00+00:00,Exocet-40,anti-ship missile,Missiles,44.349371111968665,-1.3285559119656076,-2.2341369820788897,117.4318266609068
266243,4860,Thailand,United States,2007-01-01 00:00:00+00:00,False,1.0,2012-01-01 00:00:00+00:00,TPS-77,air search radar,Sensors,38.8936506,-77.1706298,15.086950068964573,101.0075524581199
317489,5846,Qatar,United States,2014-01-01 00:00:00+00:00,False,10.0,2019-01-01 00:00:00+00:00,Patriot-3 SAMS,SAM system,Air defence systems,38.8936506,-77.1706298,25.32374976223017,51.183576073246904
278496,7622,Indonesia,Poland,2006-01-01 00:00:00+00:00,False,1.0,2009-01-01 00:00:00+00:00,KOBRA,AA gun/SAM system,Air defence systems,52.21125056868454,19.294992434264316,-2.2341369820788897,117.4318266609068
